iter	Passed	Remaining
0	135	107908
1	136	54325
2	137	36421
3	138	27537
4	139	22183
5	140	18590
6	141	16016
7	142	14072
8	142	12564
9	143	11364
10	144	10371
11	145	9546
12	146	8844
13	146	8246
14	148	7771
15	149	7333
16	150	6937
17	151	6582
18	152	6262
19	153	5969
20	153	5710
21	154	5475
22	155	5268
23	156	5067
24	157	4882
25	158	4709
26	159	4554
27	159	4405
28	160	4267
29	161	4151
30	162	4038
31	163	3928
32	164	3822
33	165	3731
34	166	3636
35	167	3547
36	168	3465
37	168	3384
38	169	3310
39	170	3239
40	171	3178
41	172	3121
42	174	3066
43	175	3009
44	175	2950
45	176	2895
46	177	2844
47	178	2793
48	179	2747
49	180	2703
50	181	2660
51	181	2616
52	182	2575
53	183	2533
54	184	2495
55	184	2457
56	185	2424
57	187	2395
58	188	2365
59	189	2339
60	190	2311
61	191	2281
62	192	2252
63	193	2223
64	194	2195
65	194	2168
66	195	2141
67	196	2117
68	197	2091
69	198	2067
70	199	2043
71	199	2021
72	200	1999
73	201	1976
74	202	1955
75	203	1936
76	204	1916
77	205	1897
78	205	1878
79	206	1859
80	207	1841
81	208	1823
82	208	1804
83	209	1787
84	210	1770
85	211	1755
86	212	1740
87	213	1725
88	214	1715
89	215	1702
90	216	1687
91	217	1673
92	218	1660
93	219	1647
94	220	1634
95	221	1620
96	221	1606
97	222	1593
98	223	1582
99	224	1571
100	225	1560
101	226	1550
102	227	1540
103	228	1530
104	229	1518
105	230	1507
106	231	1497
107	232	1486
108	233	1478
109	234	1469
110	235	1461
111	236	1452
112	237	1442
113	237	1431
114	238	1421
115	239	1412
116	240	1403
117	241	1396
118	242	1387
119	243	1380
120	244	1373
121	245	1364
122	246	1355
123	246	1346
124	247	1337
125	248	1330
126	249	1323
127	250	1315
128	251	1306
129	252	1298
130	252	1290
131	253	1282
132	254	1274
133	254	1267
134	255	1259
135	256	1252
136	257	1245
137	258	1238
138	259	1231
139	259	1224
140	260	1216
141	261	1210
142	261	1203
143	262	1196
144	263	1191
145	264	1185
146	265	1179
147	266	1173
148	267	1167
149	267	1160
150	268	1154
151	269	1148
152	270	1142
153	271	1137
154	271	1131
155	273	1128
156	274	1123
157	275	1117
158	275	1112
159	276	1106
160	277	1101
161	278	1095
162	279	1090
163	279	1085
164	280	1080
165	281	1075
166	282	1069
167	282	1064
168	283	1059
169	284	1053
170	285	1048
171	285	1043
172	286	1038
173	287	1035
174	288	1030
175	289	1025
176	289	1020
177	290	1015
178	291	1010
179	291	1005
180	292	1000
181	293	995
182	294	991
183	295	989
184	296	984
185	297	980
186	297	976
187	298	971
188	299	967
189	299	962
190	300	958
191	301	955
192	302	951
193	303	947
194	304	943
195	304	939
196	305	934
197	306	930
198	306	926
199	307	922
200	308	918
201	309	914
202	309	911
203	310	907
204	311	904
205	312	901
206	313	897
207	314	894
208	315	890
209	315	887
210	316	883
211	317	880
212	318	876
213	318	872
214	319	869
215	320	865
216	320	862
217	321	859
218	322	855
219	323	852
220	324	849
221	324	845
222	325	842
223	326	839
224	327	836
225	328	834
226	329	831
227	329	827
228	330	824
229	331	822
230	332	819
231	333	816
232	334	813
233	335	810
234	335	807
235	336	804
236	337	801
237	337	797
238	338	795
239	339	792
240	340	789
241	341	786
242	342	783
243	342	781
244	344	779
245	344	776
246	345	773
247	346	771
248	347	768
249	347	765
250	348	762
251	349	760
252	350	757
253	351	755
254	352	752
255	353	750
256	354	748
257	355	745
258	355	743
259	357	741
260	358	740
261	359	738
262	360	735
263	361	733
264	362	731
265	363	728
266	363	726
267	364	724
268	366	722
269	366	720
270	367	718
271	368	716
272	369	713
273	370	711
274	371	709
275	372	706
276	373	704
277	374	702
278	374	700
279	375	697
280	376	695
281	377	692
282	377	690
283	378	688
284	379	685
285	380	683
286	381	681
287	381	678
288	382	676
289	383	674
290	384	671
291	384	669
292	385	666
293	386	665
294	387	662
295	388	660
296	389	658
297	389	656
298	390	654
299	391	652
300	392	650
301	392	648
302	393	646
303	394	644
304	395	642
305	396	640
306	397	638
307	398	636
308	398	633
309	399	631
310	400	629
311	401	627
312	402	625
313	402	623
314	403	621
315	404	619
316	405	617
317	405	615
318	406	613
319	407	611
320	408	609
321	409	607
322	409	605
323	410	603
324	411	601
325	412	599
326	413	598
327	414	596
328	415	594
329	416	593
330	417	591
331	418	589
332	419	588
333	420	586
334	421	585
335	422	583
336	423	581
337	424	579
338	425	578
339	426	577
340	427	575
341	428	573
342	429	572
343	430	570
344	431	568
345	432	567
346	433	565
347	434	563
348	434	561
349	435	560
350	436	558
351	437	556
352	438	555
353	439	553
354	439	551
355	440	549
356	441	547
357	442	546
358	443	544
359	444	542
360	444	541
361	445	539
362	446	537
363	447	535
364	447	533
365	448	532
366	449	530
367	450	528
368	451	526
369	451	525
370	452	523
371	453	521
372	454	520
373	454	518
374	455	516
375	456	515
376	457	513
377	458	511
378	459	510
379	460	508
380	460	506
381	461	505
382	462	503
383	462	501
384	464	500
385	465	499
386	467	498
387	467	496
388	468	495
389	469	493
390	470	491
391	470	490
392	471	488
393	473	487
394	473	485
395	474	484
396	475	482
397	475	480
398	476	478
399	477	477
400	477	475
401	479	474
402	479	472
403	480	471
404	481	470
405	482	468
406	483	466
407	483	464
408	484	463
409	485	461
410	486	460
411	487	458
412	487	457
413	488	455
414	489	454
415	490	452
416	491	451
417	491	449
418	492	448
419	493	446
420	494	445
421	495	444
422	496	442
423	497	440
424	498	439
425	498	438
426	499	436
427	500	435
428	501	433
429	502	432
430	503	431
431	504	430
432	505	428
433	506	427
434	507	425
435	508	424
436	508	422
437	509	421
438	510	419
439	511	418
440	512	416
441	513	415
442	514	414
443	515	413
444	516	412
445	518	411
446	519	410
447	520	408
448	521	407
449	522	406
450	523	404
451	524	403
452	525	402
453	525	400
454	526	399
455	527	397
456	528	396
457	529	395
458	530	394
459	531	392
460	532	391
461	532	389
462	534	388
463	535	387
464	536	386
465	536	384
466	537	383
467	538	381
468	539	380
469	540	379
470	540	377
471	541	376
472	542	375
473	543	373
474	544	372
475	545	371
476	546	369
477	547	368
478	548	367
479	549	366
480	550	365
481	551	363
482	552	362
483	553	361
484	554	359
485	554	358
486	555	357
487	556	355
488	557	354
489	557	353
490	558	351
491	559	350
492	560	348
493	560	347
494	561	346
495	562	344
496	563	343
497	563	342
498	564	340
499	565	339
500	566	337
501	567	336
502	567	335
503	568	333
504	569	332
505	570	331
506	571	330
507	571	328
508	572	327
509	573	326
510	574	324
511	574	323
512	575	322
513	576	320
514	577	319
515	578	318
516	579	316
517	579	315
518	580	314
519	581	313
520	583	312
521	584	311
522	585	310
523	586	308
524	587	307
525	588	306
526	588	305
527	589	303
528	590	302
529	591	301
530	592	299
531	592	298
532	594	297
533	594	296
534	595	295
535	596	293
536	597	292
537	597	291
538	598	289
539	599	288
540	600	287
541	600	286
542	601	284
543	602	283
544	603	282
545	604	281
546	605	279
547	606	278
548	606	277
549	607	276
550	608	275
551	609	274
552	610	272
553	611	271
554	612	270
555	613	269
556	614	268
557	615	266
558	615	265
559	616	264
560	618	263
561	619	262
562	620	261
563	620	259
564	621	258
565	622	257
566	623	256
567	624	254
568	625	253
569	626	252
570	627	251
571	627	250
572	628	249
573	629	247
574	630	246
575	631	245
576	631	244
577	632	243
578	633	241
579	634	240
580	635	239
581	636	238
582	637	237
583	637	235
584	638	234
585	639	233
586	640	232
587	640	231
588	641	229
589	642	228
590	643	227
591	644	226
592	645	225
593	645	223
594	646	222
595	647	221
596	648	220
597	649	219
598	650	218
599	651	217
600	651	215
601	652	214
602	653	213
603	654	212
604	655	211
605	655	209
606	656	208
607	657	207
608	658	206
609	658	205
610	659	204
611	660	202
612	661	201
613	662	200
614	662	199
615	664	198
616	664	197
617	665	196
618	666	194
619	667	193
620	668	192
621	668	191
622	669	190
623	670	189
624	671	187
625	671	186
626	672	185
